"esfera";"poder";"orgao";"protocolo";"assunto";"outros";"atendimento";"nao_e_pedido_de_informacao";"contem_dados_pessoais";"pedido";"pedido_pasta_do_anexo_pedido";"anexo_com_extensao_pedido";"resposta";"pasta_do_anexo_resposta";"anexo_com_extensao_resposta";"data_recurso_1";"recurso_1";"pasta_do_anexo_recurso_1";"anexo_com_extensao_recurso_1";"data_resposta_recurso_1";"resposta_recurso_1";"pasta_do_anexo_resposta_recurso_1";"anexo_com_extensao_resposta_recurso_1";"data_recurso_2";"recurso_2";"pasta_do_anexo_recurso_2";"anexo_com_extensao_recurso_2";"data_resposta_recurso_2";"resposta_recurso_2";"responsavel"
"municipal";"tribunal de contas";"tribunal de contas do municipio de sao paulo";"20160070";;;;;;"Gostaria de saber quando abrirá concurso para bibliotecário já que não houve aprovados no último.";;;"Prezada Sra.,
Em atenção à sua mensagem eletrônica encaminhada à esta Ouvidoria, cujo teor promove a solicitação de informações sobre a abertura de concurso público para preenchimento de cargos vagos para a especialidade Biblioteconomia pelo Tribunal de Contas do Município de São Paulo, informamos que, por ora, não existe qualquer comissão implantada para estudos e elaboração de novo edital, que deverá conter as especificações e condições, uma vez que foi realizado no ano de 2015, e por essa razão não há previsão de novo concurso.
Inobstante, em atenção e respeito às sugestões ofertadas por V.Sa., que oferecem importantes subsídios ao TCM-SP, comunicamos que ocorrendo a constituição de comissão para a elaboração de Edital, a mesma será publicada no Diário Oficial da Cidade, para conhecimento de todos.
Nesta oportunidade, agradecemos o seu contato e colocamo-nos à disposição para quaisquer esclarecimentos.
Atenciosamente, Ouvidoria do TCM-SP";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas do municipio de sao paulo";"20160072";;;;;;"Favor encaminhar ao Prof. Edson Simões. Prestei concurso professor Fundamental I e II para o município e ainda não fui convocado. Sou simpático ao professor desde seu período como vereador, trabalhando em comunidades como Capão Redondo e Cidade Adhemar, com XXXXl, XXXX. Se for necessário informo o número da minha inscrição no concurso, que foi realizado em 2013. Agradeço e aguardo retorno.";;;"Prezado Sr.,
Em atenção à sua mensagem eletrônica encaminhada à esta Ouvidoria, cujo teor promove a solicitação de apoio para esclarecimentos quanto ao Concurso Público para Professor de Educação Fundamental I e II, informamos que providenciamos o encaminhamento da solicitação de V.Sa., ao Excelentíssimo Senhor Conselheiro Edson Simões.
Outrossim, informamos que toda e qualquer informação relativa ao citado concurso público deverá ser publicada no Diário Oficial da Cidade, para conhecimento de todos, obedecendo os critérios e especificações contidos no respectivo Edital de seu concurso.
Nesta oportunidade, agradecemos o seu contato e colocamo-nos à disposição para quaisquer esclarecimentos.
Atenciosamente, Ouvidoria do TCM-SP
";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas do municipio de sao paulo";"20160074";;;;;;"Boa Tarde
Apresento por desta, denuncia de uma situação que julgo ser irregular.
Segue em anexo a formalização da denuncia, bem como documentos que comprovam o alegado.
Sem mais, me coloco a disposição.
 
";;;"Prezado Sr.,
Em atenção à sua mensagem eletrônica encaminhada à esta Ouvidoria, cujo teor demonstra a discussão entre empregado e empregador sobre as condições para a percepção de Benefício de Complementação Previdenciária - CET em razão de incapacidade laborativa, previsto em Acordo Coletivo celebrado entre a CET e funcionários, vimos à presença de V. Sa. esclarecer que o caso manifestado não é de competência desta Ouvidoria, não encontrando respaldo nas disposições constantes na Resolução nº 6/2014 deste Tribunal de Contas do Município de São Paulo.
Cumpre-nos salientar que compete ao TCM-SP, na forma da Constituição Federal, a fiscalização orçamentária e o controle externo das contas dos Poderes Municipais, apontado eventuais irregularidades ou ilegalidades de atos praticados na gestão de recursos públicos sujeitos à sua fiscalização.
No mais quanto a informação genérica sobre a crescente quantidade de processos trabalhistas e cíveis promovidos contra a Companhia de Engenharia de Tráfego - CET, salientamos que eventual análise desta questão deve ser apurada sobre o conteúdo de cada processo, em respeito à garantia constitucional ao direito de petição. 
Nesta oportunidade, agradecemos o seu contato e colocamo-nos à disposição para quaisquer esclarecimentos.
Atenciosamente, Ouvidoria do TCM-SP";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas do municipio de sao paulo";"20160075";;;;;;"Prezados, boa tarde. Estou em busca de qualquer contato da ilustre colega de profissão, dra. Karina Houat Harb, que trabalha neste órgão. Podem me fornecer algum e-mail, mesmo que corporativo para entrar em contato com ela? Desde já agradeço e informo que se necessário posso me identificar de maneira completa.";;;"Prezada Sra.,

Em atenção à sua mensagem eletrônica encaminhada à esta Ouvidoria, cujo teor solicita o contato de funcionário desta Corte, informamos que a Dra. Karina Houat Harb da Assessoria Jurídica de Controle Externo, em contato com esta Ouvidoria, esclareceu que V.Sa. já o teria efetuado diretamente com a interessada. 
Nesta oportunidade, agradecemos o seu contato e colocamo-nos à disposição para quaisquer esclarecimentos.
Atenciosamente, Ouvidoria do TCM-SP";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas do municipio de sao paulo";"20160078";;;;;;"Bom dia, Gostaria de saber como proceder para pedir orientação e sanar duvidas sobre documentos para o processo Licitatório. att";;;"Prezada Sra.,
Tem esta a finalidade de informá-la que, muito embora enviada mensagem eletrônica em 26/02/2016, solicitando maiores detalhes para atendimento de sua demanda, reiterada em 09/03/2016, e diante da ausência de sua resposta, encerramos a sua demanda perante esta Ouvidoria.
Permanecemos à disposição para quaisquer esclarecimentos.
Atenciosamente, Ouvidoria do TCM-SP";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas do municipio de sao paulo";"20160088";;;;;;"Bom dia, qual o nome do Ouvidor?, e seu Cargo?, Conselehiro,Auditor ou Diretoria. Atenciosamente,";;;"Prezado Sr.,
Em atenção à sua mensagem eletrônica encaminhada à esta Ouvidoria, cujo teor solicita dados sobre o Ouvidor desta Corte, vimos, por meio deste, informá-lo que o Dr. Elio Esteves Junior ocupa o cargo de Assessor de Gabinete do Conselheiro Domingos Dissei, e vem respondendo, cumulativamente, pela Ouvidoria desta Corte.
Outrossim, informamos que o contato poderá ser através do link da Ouvidoria, mantido no sítio www.tcm.sp.gov.br, bem como, entrar em contato diretamente, através do telefone 5080-1980. 
Nesta oportunidade, agradecemos o seu contato e colocamo-nos à disposição para quaisquer esclarecimentos.
Atenciosamente, Ouvidoria do TCM-SP";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas do municipio de sao paulo";"20160092";;;;;;"Solicito, nos termos da Lei 12.527/2011, as informações que seguem: 1. Quantas contratações por Dispensa de Licitação com fulcro no inciso IV do art. 24 da Lei 8.666/93 foram objeto de análise deste tribunal nos anos de 2014 e 2015. 2. Quantas contratações nesta modalidade de dispensa analisados foram considerados irregulares? 3. Quais as principais irregularidades encontradas nestes contratos? Atenciosamente,";;;"Prezado Sr.,
Em atenção à sua mensagem eletrônica encaminhada à esta Ouvidoria, cujo teor solicita informações sobre a quantidade de contratações por dispensa de licitação, temos a informar, de acordo com os dados fornecidos pela Subsecretaria de Fiscalização e Controle do Tribunal de Contas do Município de São Paulo, que:
-Não há no Tribunal de Contas controles que permitam respostas imediatas a esse tipo de solicitação, sendo perguntas genéricas, não fazendo referência a um objeto em particular.
- Para uma resposta a tais perguntas, há a necessidade de ser feito um levantamento complexo que representa um importante investimento de tempo, não sendo possível uma resposta imediata.
Nesta oportunidade, agradecemos o seu contato e colocamo-nos à disposição para quaisquer esclarecimentos.
 Atenciosamente, Ouvidoria do TCM-SP";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas do municipio de sao paulo";"20160093";;;;;;"Solicito através desta o Login e a Senha de Acesso ao Material do Aluno do Curso de Processo Administrativo, pois estou não estou tendo acesso através do CPF e numero do aluno";;;"Prezado Sr.,
Em atenção à sua mensagem eletrônica encaminhada à esta Ouvidoria, cujo teor solicita o login e a senha de acesso ao material do aluno do Curso de Processo Administrativo, vimos, por meio deste, informá-lo que referidos cursos são ministrados pela Escola Superior de Gestão e Contas Conselheiro Eurípedes Sales deste Tribunal de Contas, cujo acesso V.Sa. poderá obter através do link EC TCMSP, mantido no sítio www.tcm.sp.gov.br, bem como, entrar em contato diretamente com aquela escola, através do telefone 5080-1387, ou do e-mail: escoladecontas@tcm.sp.gov.br, que ofertará os subsídios à sua melhor convicção.
Nesta oportunidade, agradecemos o seu contato e colocamo-nos à disposição para quaisquer esclarecimentos.
 Atenciosamente, Ouvidoria do TCM-SP";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas do municipio de sao paulo";"20160101E";;;;;;"exmo.sr. ouvidor narua cosme deotado tadeu toda fez que chove milhares perde tudo omuniçipio tem gastado muito dinheiro publico sem soluçao meu nome XXXXXX rgxxxxxxxx peço a intervessaçao da subguaionases pois tem conheçinto e nada faz
exmo.sr. na estrada de poa quando chove pessoas sao arrastada pela agua e morta todos bens sao perdido eu XXXXXXX rgxxxxxxx venho pedi que tcm veja onde que vai milhoes de dinheiro gasto em conbate aenchete guainases vila sao geraldo guainases sera ate quando asoçiedade vai pagar altas taxas de impostos e ninguem apior nesta gestao do prefeito ele colou aprendiçe de engenharia quando sr lidalva faleceu guainases subguainases sabia e nada fez mas aacredito no mp de sp tambem no tcm pois e respeitado em todo mundo peço intevençao subguainases e nada faz desde ja agradeço
";;;"Prezado Sr.,
Em atenção à sua mensagem eletrônica encaminhada a esta Ouvidoria, cujo teor promove a reclamação de problemas de enchentes em Guaianases, vimos à presença de V. Sa. esclarecer que o caso manifestado não é de competência desta Ouvidoria, não encontrando respaldo nas disposições constantes na Resolução nº 6/2014 deste Tribunal de Contas do Município de São Paulo.
Cumpre-nos salientar que compete ao TCM-SP, na forma da Constituição Federal, a fiscalização orçamentária e o controle externo das contas dos Poderes Municipais, apontado eventuais irregularidades ou ilegalidades de atos praticados na gestão de recursos públicos sujeitos à sua fiscalização. 
Inobstante, em atenção e respeito a V.Sa, solicitamos, se assim o desejar, o seu contato junto à Ouvidoria do Município de São Paulo, através do sítio www.prefeitura.sp.gov.br/ouvidoria/, ou pelo telefone: 3334-7105, para inteiro conhecimento daquele órgão e adoção das medidas que entenderem cabíveis de acordo com os parâmetros legais.
Nesta oportunidade, agradecemos o seu contato e colocamo-nos à disposição para quaisquer esclarecimentos.
Atenciosamente, Ouvidoria do TCM-SP";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas do municipio de sao paulo";"20160106";;;;;;"Prezados, boa tarde. Gostaria de ter acesso a Ordem Interna 09/2015 do TCM/SP, que estabelece normas para a reinclusão de processos com pedido de vistas na pauta de julgamento, visando à economia de recursos e a racionalização do trabalho. Atenciosamente,";;;"Prezada Sra.,

Em atenção à sua mensagem eletrônica encaminhada a esta Ouvidoria, cujo teor promove a solicitação de acesso a Ordem Interna SG/GAB nº 09/2015, que dispõe sobre vista, inclusão e reinclusão de processos na Ordem do Dia, informamos que V.Sa. poderá promover sua solicitação, mediante requerimento fundamentado e dirigido ao Exmo. Senhor Conselheiro Presidente desta Corte e protocolizado perante o Setor de Protocolo do TCMSP, no horário compreendido entre 07:00 e 19:00 horas de segunda à sexta-feira, no endereço: Avenida Professor Ascendino Reis, nº 1130, Portão A, no bairro de Vila Clementino.
Nesta oportunidade, agradecemos o seu contato e colocamo-nos à disposição para quaisquer esclarecimentos.
 Atenciosamente, Ouvidoria do TCM-SP";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas do municipio de sao paulo";"20160113";;;;;;"Boa tarde! Estou entre os aprovados ao cargo de Agente de Fiscalização - Ciências Jurídicas do último concurso e gostaria de saber quais são as perspectivas de aposentadorias para a área nos próximos 3 anos. Além disso, gostaria de saber se já há cargos vagos na área (houve uma reprovação no último curso de formação). Obrigado pela atenção!";;;"Prezado Sr.,
Em atenção à sua mensagem eletrônica encaminhada à esta Ouvidoria, cujo teor promove a solicitação de informações sobre a quantidade de cargos vagos para Agente de Fiscalização – especialidade Ciências Jurídicas, bem como aposentadorias programadas para o referido cargo no triênio 2016/2017/2018, temos a informar, de acordo com os dados fornecidos pela Subsecretaria Administrativa do Tribunal de Contas do Município de São Paulo, que:
ü  Não há uma quantidade de vagas definida para cada uma das áreas citadas, dependerá da necessidade da Administração, conforme podemos observar no Edital de Concurso nº 01 de 29.05.2015.
ü  Os pedidos de aposentadoria são demandados pelo servidor que é o interessado e a qualquer tempo, desde que cumpridos os requisitos legais, por esse motivo não temos previsão de quantos a solicitarão.
Outrossim, informamos que, por ora, não existe qualquer comissão implantada para estudos e elaboração de edital para novo concurso público.
Nesta oportunidade, agradecemos o seu contato e colocamo-nos à disposição para quaisquer esclarecimentos.
Atenciosamente, Ouvidoria do TCM-SP";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas do municipio de sao paulo";"20160119";;;;;;"Gostaria de esclarecimentos quanto ao pagamento da atividade delegada feita pelo Corpo de Bombeiros no SAMU. Tal indagação prende-se ao fato de nao ter recebido valores referente a 2º quinzena de dezembro até a data atual. Estou indignado pois temos compromisso financeiros, os quais não conseguimos saldar essas dividas. Se possivel informar o porque e quando sera o pagamento agradecemos. obrigado e no aguardo.";;;"Prezado Sr.,
Em atenção à sua mensagem eletrônica encaminhada à esta Ouvidoria, vimos à presença de V. Sa. esclarecer que o caso manifestado não é de competência desta Ouvidoria e Corte de Contas.
Cumpre-nos salientar que compete ao TCM-SP, na forma da Constituição Federal, a fiscalização orçamentária e o controle externo das contas dos Poderes Municipais da Cidade de São Paulo, apontado eventuais irregularidades ou ilegalidades de atos praticados na gestão de recursos públicos sujeitos à sua fiscalização. 
Nesta oportunidade, agradecemos o seu contato e colocamo-nos à disposição para quaisquer esclarecimentos.
 Atenciosamente, Ouvidoria do TCM-SP";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas do municipio de sao paulo";"20160120";;;;;;"SOLICITO INFORMAÇÃO SOBRE ACORDÃO/DECISÃO PRESTAÇÃO CONTAS CAMARA MUNICIPAL DE MAIRINQUE - PROCESSO TC 002691/026/14 - NECESSITO CONHECER O TEOR DO ACÓRDÃO. ATT.";;;"Prezada Sra.,
Em atenção à sua mensagem eletrônica encaminhada à esta Ouvidoria, cujo teor versa sobre a solicitação de informação sobre o Acórdão/Decisão da Prestação de Contas da Câmara Municipal de Mairinque, vimos à presença de V. Sa. esclarecer que o caso manifestado não é de competência desta Ouvidoria e sim junto ao Tribunal de Contas do Estado de São Paulo, para o qual sua solicitação deverá ser formulada.
Cumpre-nos salientar que compete ao TCM-SP, na forma da Constituição Federal, a fiscalização orçamentária e o controle externo das contas dos Poderes Municipais da Cidade de São Paulo, apontado eventuais irregularidades ou ilegalidades de atos praticados na gestão de recursos públicos sujeitos à sua fiscalização. 
Inobstante, em atenção e respeito a V.Sa, solicitamos, se assim o desejar, o seu contato junto à Ouvidoria do Tribunal de Contas do Estado de São Paulo, devendo protocolar sua manifestação junto a Ouvidoria do TCE-SP, conforme orientação dos mesmos, seguindo os passos abaixo:
“Para protocolar manifestação via WEB: O acesso virtual à Ouvidoria do Tribunal de Contas do Estado de São Paulo encontra-se disponível através da página inicial de nosso site na internet (http://www4.tce.sp.gov.br/). Na barra de serviços centralmente localizada, clique sob o ícone visual identificador. Na sequência (http://www4.tce.sp.gov.br/ouvidoria/inicio), ao lado direito da página que se abrirá, clique no tipo de registro pertinente à vossa pessoa: cidadão ou jurisdicionado (http://www4.tce.sp.gov.br/ouvidoria/cadastre-sua-manifestacao?publico=cidadao). Após, basta inserir os dados de vossa manifestação e enviar a mensagem. O prazo para atendimento, seguindo os comandos da Lei de Acesso à Informação, é de 20 (vinte) dias, prorrogáveis por mais 10 (dez) dias. E a resposta será enviada ao e-mail previamente cadastrado.”
Nesta oportunidade, agradecemos o seu contato e colocamo-nos à disposição para quaisquer esclarecimentos.
 Atenciosamente, Ouvidoria do TCM-SP";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas do municipio de sao paulo";"20160129";;;;;;"Boa noite, Venho por meio desta indagar se o Tribunal de Contas do Município oferece aos cidadãos a distribuição gratuita de periódicos (físicos), pois desejo recebê-los caso afirmativo. Agradeço a atenção. Atenciosamente,";;;"Prezada Sra.,
Em atenção à sua mensagem eletrônica encaminhada à esta Ouvidoria, cujo teor solicita informações sobre a distribuição gratuita aos cidadãos de periódicos deste Tribunal de Contas do Município de São Paulo,  vimos, por meio deste, informá-la que poderão ser obtidos através do link IMPRENSA, no sítio www.tcm.sp.gov.br.
Informamos que referidos periódicos, foram produzidos até janeiro de 2015, oportunidade em que eram distribuídos gratuitamente a Órgãos Públicos e Universidades.
Outrossim, informamos que V.Sa., poderá entrar em  contato diretamente com a Assessoria de Imprensa desta Corte, através do telefone (011) 5080-1140, que oferecerá maiores esclarecimentos.
Nesta oportunidade, agradecemos o seu contato e colocamo-nos à disposição para quaisquer esclarecimentos.
Atenciosamente, Ouvidoria do TCM-SP";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas do municipio de sao paulo";"20160133";;;;;;"Prezados, recebi uma multa (conforme SI-A0-000000-0) que considero indevida, pois, entre outros fatores, que nunca estive no município de São Paulo com meu carro. Enviei toda a documentação referente à minha defesa, conforme orientação do próprio site da secretaria responsável, no dia 7/4. De acordo com o código de rastreio dos Correios, essa carta chegou à caixa postal informada lá no dia 8/4, só que até o momento não vi nenhuma atualização da minha defesa no site e o valor da multa já aparece quando consulto o Renavam do meu carro no DETRAN-PR. Solicito atenção, pois a multa está completamente incorreta, conforme discorro em minha defesa, e sinto ser uma arbitrariedade se eu tiver que pagar esse valor da autuação. Certo da vossa atenção, ficarei no aguardo.";;;"Prezado Sr.,
Em atenção à sua mensagem eletrônica encaminhada a esta Ouvidoria, cujo teor relata reclamação quanto à aplicação indevida de multa ao veículo de sua propriedade no âmbito do Município de São Paulo, informamos que não compete ao TCM-SP à análise de sua demanda.
Cumpre-nos salientar que compete ao TCM-SP, na forma da Constituição Federal, a fiscalização orçamentária e o controle externo das contas dos Poderes Municipais, apontando eventuais irregularidades ou ilegalidades de atos praticados na gestão de recursos públicos sujeitos à sua fiscalização. 
Inobstante, em atenção e respeito a V.Sa., caso entender necessário, solicitamos o seu contato junto à Ouvidoria do DETRAN, para oferecimento de sua reclamação, através  do sítio:http://www.detran.sp.gov.br/wps/portal/portaldetran/detran/atendimento/ouvidoria 
Nesta oportunidade, agradecemos o seu contato e colocamo-nos à disposição para quaisquer esclarecimentos.
Atenciosamente, Ouvidoria do TCM-SP";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas do municipio de sao paulo";"20160134";;;;;;"OLÁ, GOSTARIA DE TER ACESSO A TODAS AS DECISÕES DEFINITIVAS (COM TRÂNSITO EM JULGADO) DO TRIBUNAL DE CONTAS DO MUNICÍPIO DE SÃO PAULO QUE DIGAM RESPEITO AO CONTRATO DE CONCESSÃO N. 34/SVMA/95, INCLUINDO JULGAMENTOS SOBRE A REGULARIDADE DA CELEBRAÇÃO DO CONTRATO E DE SEUS ADITIVOS, DA EXECUÇÃO CONTRATUAL E OUTROS TEMAS CORRELATOS. OBRIGADO.";;;"Prezado Sr.,
Em atenção à sua mensagem eletrônica encaminhada à esta Ouvidoria, cujo teor solicita acesso às decisões desta Corte relativas ao Contrato de Concessão nº 34/SVMA/95, transitadas em julgado, informamos que esta Ouvidoria diligenciou e encontrou o TC nº 72.0028819999 que versa sobre o assunto tratado na sua mensagem eletrônica.
Assim, V.Sa. poderá solicitar cópias do supra citado processo, mediante requerimento fundamentado e dirigido ao Exmo. Senhor Conselheiro Presidente Roberto Braguim, Relator do processo em questão, devendo ser protocolizado perante o Setor de Protocolo do TCMSP, no horário compreendido entre 07:00 e 19:00 horas de segunda à sexta-feira, no endereço: Avenida Professor Ascendino Reis, nº 1130, Portão A, no bairro de Vila Clementino.
Nesta oportunidade, agradecemos o seu contato e colocamo-nos à disposição para quaisquer esclarecimentos.
Atenciosamente, Ouvidoria do TCM-SP";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas do municipio de sao paulo";"20160136";;;;;;"Prezados senhores, Gostaria de ser informado sobre que atividades o TCM-SP realiza na fiscalização e controle da dívida pública do Município de São Paulo. Esse Tribunal de Contas tem atuado de alguma maneira no controle e na fiscalização da dívida pública? Há alguma unidade específica no Tribunal que cuide do tema? Há alguma auditoria, inspeção e/ou outros tipos de fiscalização em andamento que trate o tema? Há alguma decisão ou acórdão relevante do Tribunal de Contas sobre a dívida pública do Município? A dívida pública é tratada na análise das contas do Prefeito Municipal? De que modo? Agradecido,";;;"Números de atendimento: 201600136 / 20160166
Prezado Sr.,
Em atenção às suas mensagens eletrônicas encaminhadas à esta Ouvidoria, cujo teor solicita informações sobre o Controle e Fiscalização da Dívida Pública, temos a informar, de acordo com a orientação da Subsecretaria de Fiscalização e Controle desta Corte, que:
Com relação à dívida pública do município de São Paulo são realizados, pelos técnicos desta Corte, dois tipos de auditoria:
 1. Acompanhamentos quadrimestrais dos limites previstos no inciso III do §1º do artigo 59 da Lei de Responsabilidade Fiscal, da trajetória de ajuste estabelecida pelo artigo 4º da Resolução nº 40/01 do Senado Federal e dos limites previstos no inciso I do artigo 7º, no caput do artigo 9º e no artigo 10 da Resolução nº 43/01 do Senado Federal (ao todo, 3 auditorias para cada exercício) e
 2. Auditorias Programadas para avaliar a contabilização, a legitimidade da documentação, os controles e a legalidade dos atos (ao todo, 2 auditorias para cada exercício).
 As auditorias mencionadas são integradas ao Relatório Anual de Fiscalização - RAF do exercício a que se referem, relatório este no qual a auditoria realiza a análise da Prestação de Contas do Senhor Prefeito.
 Quanto ao exercício de 2016, foi realizado recentemente o Acompanhamento referente ao 1º quadrimestre.
 No RAF relativo ao exercício de 2014 (último sobre o qual já houve emissão de parecer do Plenário deste E. Tribunal), a auditoria relatou o seguinte sobre o tema:
\"5.14 - EMPRÉSTIMOS POR CONTRATOS INTERNOS 
Os empréstimos por contratos internos representam 80,9% do Passivo Permanente, tendo a União como maior credora do Município. Em 31.12.14 seu crédito atingiu o valor de R$ 64,7 bilhões (99,6% dos Contratos Internos).
                                                                                                             Em R$
Empréstimos por Contratos Internos     31.12.14 % Vert.
UNIÃO /BB 64.728.796.804 99,6
Refinanciamento MP 2.185-35/2001 62.947.968.166 96,8
Lei Federal nº 8.727/93 COHAB/PMSP 1.744.973.386 2,7
DMLP – Lei  12.671/98 35.855.252 0,1
CAIXA ECONÔMICA FEDERAL 16.042.909 -
BANCO NACIONAL DESENV. ECONÔMICO E SOCIAL - BNDES 256.538.498 0,4
Total 65.001.378.211 100
Fonte: Demonstrativos DEDIP/SF
5.14.1 - Movimentação e Regularidade da Contabilização 
Em 2014 as contas que compõem a Dívida Fundada tiveram a seguinte movimentação: 

Contratos Internos R$ 
Saldo em 31.12.13       60.967.615.306 
Mais 
Liberação de Empréstimos               5.500.000 
Atualização Monetária         2.452.942.468 
Variação Cambial             2.880.799 
Incorporação de Juros          2.958.829.188 
Menos 
Amortizações c/ Empenhos       (1.379.868.757)
Desincorporações              (6.520.793)
Saldo em 31.12.14       65.001.378.211 
Fonte: Demonstrativos DEDIP/SF
A contabilização dos saldos e movimentação espelha as planilhas mensais do Departamento de Dívidas Públicas – DEDIP/SF, elaboradas a partir de controles estabelecidos de forma organizada e documentados em processos administrativos.
Liberação de Empréstimos
Foram previstos no Orçamento para 2014 recursos de operações de crédito provenientes do Programa de Modernização da Administração Tributária - PMAT/BNDES e do Programa Nacional de Apoio à Gestão Administrativa e Fiscal – PNAFM no valor total de R$ 49.985.715,00.
Todavia, houve liberação de apenas R$ 5,5 milhões, relativos ao PNAFM.
5.14.2 - Contrato de Refinanciamento com a União
O contrato estipula o pagamento da dívida em 360 prestações mensais e consecutivas, sem carência, a partir de maio de 2000, calculadas com base na Tabela Price, observado o limite de dispêndio mensal de 1/12 (um doze avos) de 13% da Receita Líquida Real – RLR do Município.
a) Evolução do Saldo Devedor
A evolução do saldo do contrato, a partir do seu início até 31.12.14, é demonstrada no quadro seguinte:
Evolução do Saldo Devedor do Refinanciamento - 03.05.00 a 31.12.14   
                             Em R$
  2000 a 2013   2014   2000 a 2014 
 Saldo Inicial        11.261.073.310       58.594.080.820       11.261.073.310 
 (+) atualização monetária        30.520.626.912         2.434.355.232       32.954.982.144 
 (+) incorporação de juros        17.753.147.130         2.911.480.983       20.664.628.113 
 (-) amortização         (1.891.589.871)         (991.948.870)      (2.883.538.741)
 (+) acerto contábil             950.823.340  -           950.823.340 
 Saldo Final        58.594.080.820       62.947.968.166       62.947.968.166 
Fonte: Relatório das Contas de 2013, SOF e planilhas DEDIP
O crescimento apresentado pela dívida no período de 2000 a dezembro de 2014 decorre, principalmente, da correção monetária calculada com base no IGP–DI, no montante de R$ 33 bilhões, e da incorporação dos juros (9% a.a) que excederam o limite de dispêndio de 13% da Receita Líquida Real (Saldo Resíduo MP 2.185/01), no valor de R$ 21 bilhões. 
b) Pagamento de Juros, Amortização e Encargos
Demonstra-se a seguir os pagamentos do Contrato de Refinanciamento com a União de junho de 2000 a dezembro de 2014:
Pagamentos do Contrato de Refinanciamento de 06/2000 - 12/2014                                               Em R$
Pagamentos   2000 a 2013   2014   Acumulado  %s/Total 
 Juros    19.714.622.603   2.613.339.941    22.327.962.544  88,5
 Amortização     1.895.451.903      991.948.870     2.887.400.773  11,4
 Encargos          18.980.671          2.386.025          21.366.696  0,1
 Total    21.629.055.177   3.607.674.836    25.236.730.013  100,0
Fonte: DEDIP e SOF
Desde o início do Contrato de Refinanciamento, a Municipalidade já repassou à União, em valores nominais, R$ 25,2 bilhões, sendo que apenas R$2,9 bilhões serviram para amortizar a dívida. 
O exame por amostragem da documentação e dos cálculos para os pagamentos efetuados em 2014 confirmaram a observância das cláusulas contratuais no que se refere ao prazo de pagamento, ao cálculo dos juros e à comissão do agente, bem como a conformidade com os valores informados pela Secretaria do Tesouro Nacional – STN.
5.15 - EMPRÉSTIMOS POR CONTRATOS EXTERNOS
Os contratos externos foram assinados com um único credor, o Banco Interamericano de Desenvolvimento - BID.
O quadro seguinte demonstra a dívida externa, por contrato:
Empréstimos por Contratos Externos                                                                         Em R$
Banco Interamericano de Desenvolvimento – BID
Empréstimos 31.12.13 31.12.14
Procav – BID II - Cont. 849/OC 313.430.110 300.713.331
Prover/Cingapura – BID III - Cont.938/OC 190.194.597 188.698.680
Procentro – BID IV 204.608.821 217.031.759
Total 708.233.529 706.443.771
Fonte: SOF e Planilhas DEDIP/SF.
A dívida com contratos externos totalizou R$ 706,4 milhões em dezembro de 2014.
Em 2014 foram pagos R$ 84 milhões a título de amortização e R$13 milhões em juros.
Verificou-se, com base em amostragem, a regularidade da movimentação, contabilização e a observância das cláusulas contratuais no que se refere aos cálculos das prestações e prazos de pagamento dos empréstimos.
[...]
 6.5.1 - Limite da Dívida do Município
Considerando que a relação entre a dívida consolidada líquida e a receita corrente líquida era de 1,9298 em 31.12.01, a Prefeitura deveria observar a seguinte trajetória de ajuste da dívida para atingir a relação máxima de 1,2 em 2016, conforme Resolução nº 40/01 do Senado Federal.
           [...]
A relação entre a dívida consolidada líquida e a receita corrente líquida, apurada em 31.12.14, alcançou 1,9114, enquanto deveria ter chegado a 1,2973, demonstrando que a dívida municipal encontra-se fora da trajetória exigida pelo art. 4º da Resolução nº 40/01 do Senado Federal.

ESPECIFICAÇÃO PMSP
 31.12.13 31.12.14
DÍVIDA CONSOLIDADA – DC                                     (I) 74.479.251.803,47 77.810.329.052,43
DEDUÇÕES                                                                (II) 7.489.588.584,08 6.080.099.611,53
